date,stat,pitcher,name,book_line,book_p_over,n_books
2026-07-03,assists,Olivia Miles,olivia miles,5.5,0.5164,3
2026-07-03,assists,Natasha Howard,natasha howard,2.5,0.5408,3
2026-07-03,assists,Courtney Williams,courtney williams,4.5,0.4415,3
2026-07-03,assists,Jonquel Jones,jonquel jones,2.5,0.5419,3
2026-07-03,assists,Pauline Astier,pauline astier,3.5,0.5468,3
2026-07-03,assists,Nia Coffey,nia coffey,2.5,0.4257,2
2026-07-03,assists,Breanna Stewart,breanna stewart,3.5,0.4122,3
2026-07-03,assists,Sabrina Ionescu,sabrina ionescu,4.5,0.4621,3
2026-07-03,assists,Kayla McBride,kayla mcbride,2.5,0.4969,3
2026-07-03,points,Olivia Miles,olivia miles,18.5,0.4735,3
2026-07-03,points,Natasha Howard,natasha howard,15.5,0.5306,3
2026-07-03,points,Courtney Williams,courtney williams,15.5,0.4969,3
2026-07-03,points,Marine Johannes,marine johannes,6.5,0.5,3
2026-07-03,points,Jonquel Jones,jonquel jones,14.5,0.5185,3
2026-07-03,points,Pauline Astier,pauline astier,7.5,0.5306,3
2026-07-03,points,Nia Coffey,nia coffey,9.5,0.4629,2
2026-07-03,points,Leonie Fiebich,leonie fiebich,8.5,0.5103,3
2026-07-03,points,Breanna Stewart,breanna stewart,19.5,0.4715,2
2026-07-03,points,Sabrina Ionescu,sabrina ionescu,14.5,0.5197,3
2026-07-03,points,Kayla McBride,kayla mcbride,15.5,0.4731,2
2026-07-03,pra,Olivia Miles,olivia miles,28.5,0.5133,2
2026-07-03,pra,Natasha Howard,natasha howard,26.5,0.5141,2
2026-07-03,pra,Courtney Williams,courtney williams,25.5,0.4815,3
2026-07-03,pra,Jonquel Jones,jonquel jones,26.5,0.4948,3
2026-07-03,pra,Breanna Stewart,breanna stewart,30.5,0.5164,3
2026-07-03,pra,Sabrina Ionescu,sabrina ionescu,23.5,0.4939,3
2026-07-03,pra,Kayla McBride,kayla mcbride,21.5,0.4808,3
2026-07-03,rebounds,Olivia Miles,olivia miles,4.5,0.502,3
2026-07-03,rebounds,Natasha Howard,natasha howard,7.5,0.5419,3
2026-07-03,rebounds,Courtney Williams,courtney williams,5.5,0.416,3
2026-07-03,rebounds,Jonquel Jones,jonquel jones,8.5,0.4939,3
2026-07-03,rebounds,Pauline Astier,pauline astier,2.5,0.5585,3
2026-07-03,rebounds,Nia Coffey,nia coffey,6.5,0.4632,3
2026-07-03,rebounds,Leonie Fiebich,leonie fiebich,2.5,0.5241,3
2026-07-03,rebounds,Breanna Stewart,breanna stewart,8.5,0.4415,3
2026-07-03,rebounds,Sabrina Ionescu,sabrina ionescu,3.5,0.5768,3
2026-07-03,rebounds,Kayla McBride,kayla mcbride,3.5,0.4373,3
2026-07-03,threes,Olivia Miles,olivia miles,1.5,0.357,3
2026-07-03,threes,Marine Johannes,marine johannes,1.5,0.5056,2
2026-07-03,threes,Courtney Williams,courtney williams,1.5,0.3647,3
2026-07-03,threes,Jonquel Jones,jonquel jones,1.5,0.5282,3
2026-07-03,threes,Nia Coffey,nia coffey,1.5,0.4694,3
2026-07-03,threes,Leonie Fiebich,leonie fiebich,1.5,0.4858,3
2026-07-03,threes,Breanna Stewart,breanna stewart,0.5,0.5693,3
2026-07-03,threes,Sabrina Ionescu,sabrina ionescu,2.5,0.3978,3
2026-07-03,threes,Kayla McBride,kayla mcbride,1.5,0.6022,3
2026-07-03,pra,Leonie Fiebich,leonie fiebich,13.5,0.4787,2
2026-07-03,assists,Kamilla Cardoso,kamilla cardoso,2.5,0.4741,2
2026-07-03,assists,Jackie Young,jackie young,6.5,0.4592,3
2026-07-03,assists,Chelsea Gray,chelsea gray,7.5,0.4653,3
2026-07-03,assists,Skylar Diggins-Smith,skylar diggins-smith,4.5,0.5489,3
2026-07-03,assists,Courtney Vandersloot,courtney vandersloot,4.5,0.4744,3
2026-07-03,assists,Natasha Cloud,natasha cloud,3.5,0.4759,3
2026-07-03,points,Gabriela Jaquez,gabriela jaquez,7.5,0.4897,3
2026-07-03,points,Sydney Taylor,sydney taylor,14.5,0.4815,3
2026-07-03,points,Kamilla Cardoso,kamilla cardoso,14.5,0.4694,3
2026-07-03,points,Azura Stevens,azura stevens,11.5,0.4889,2
2026-07-03,points,Jackie Young,jackie young,20.5,0.491,3
2026-07-03,points,NaLyssa Smith,nalyssa smith,12.5,0.5052,3
2026-07-03,points,Skylar Diggins-Smith,skylar diggins-smith,14.5,0.4779,3
2026-07-03,points,Courtney Vandersloot,courtney vandersloot,5.5,0.5041,2
2026-07-03,points,Jewell Loyd,jewell loyd,9.5,0.516,2
2026-07-03,points,Chelsea Gray,chelsea gray,13.5,0.5244,2
2026-07-03,points,Chennedy Carter,chennedy carter,16.5,0.5157,2
2026-07-03,points,Natasha Cloud,natasha cloud,6.5,0.5117,2
2026-07-03,pra,Sydney Taylor,sydney taylor,17.5,0.5059,2
2026-07-03,pra,Kamilla Cardoso,kamilla cardoso,25.5,0.4948,3
2026-07-03,pra,Azura Stevens,azura stevens,20.5,0.528,2
2026-07-03,pra,Jackie Young,jackie young,32.5,0.4939,3
2026-07-03,pra,NaLyssa Smith,nalyssa smith,21.5,0.4979,2
2026-07-03,pra,Skylar Diggins-Smith,skylar diggins-smith,22.5,0.4836,3
2026-07-03,pra,Chelsea Gray,chelsea gray,26.5,0.4995,2
2026-07-03,rebounds,Gabriela Jaquez,gabriela jaquez,3.5,0.4773,3
2026-07-03,rebounds,Kamilla Cardoso,kamilla cardoso,8.5,0.4723,3
2026-07-03,rebounds,Azura Stevens,azura stevens,7.5,0.4452,2
2026-07-03,rebounds,Jackie Young,jackie young,5.5,0.4578,3
2026-07-03,rebounds,NaLyssa Smith,nalyssa smith,7.5,0.4499,3
2026-07-03,rebounds,Skylar Diggins-Smith,skylar diggins-smith,2.5,0.5658,3
2026-07-03,rebounds,Chelsea Gray,chelsea gray,4.5,0.4911,3
2026-07-03,rebounds,Natasha Cloud,natasha cloud,2.5,0.559,3
2026-07-03,threes,Sydney Taylor,sydney taylor,1.5,0.567,3
2026-07-03,threes,Azura Stevens,azura stevens,1.5,0.357,3
2026-07-03,threes,Jackie Young,jackie young,2.5,0.4199,3
2026-07-03,threes,Skylar Diggins-Smith,skylar diggins-smith,1.5,0.4373,3
2026-07-03,threes,Jewell Loyd,jewell loyd,1.5,0.583,3
2026-07-03,threes,Chelsea Gray,chelsea gray,2.5,0.4038,2
2026-07-03,threes,Chennedy Carter,chennedy carter,1.5,0.3604,2
2026-07-03,pra,Jewell Loyd,jewell loyd,14.5,0.5169,2
2026-07-03,assists,Allisha Gray,allisha gray,2.5,0.416,3
2026-07-03,assists,Jordin Canada,jordin canada,5.5,0.5501,3
2026-07-03,assists,Rhyne Howard,rhyne howard,3.5,0.4373,3
2026-07-03,assists,Veronica Burton,veronica burton,5.5,0.5082,3
2026-07-03,assists,Gabby Williams,gabby williams,2.5,0.5103,3
2026-07-03,assists,Angel Reese,angel reese,2.5,0.4815,3
2026-07-03,points,Allisha Gray,allisha gray,17.5,0.4954,2
2026-07-03,points,Janelle Salaun,janelle salaun,9.5,0.4959,2
2026-07-03,points,Jordin Canada,jordin canada,10.5,0.5231,2
2026-07-03,points,Rhyne Howard,rhyne howard,17.5,0.4949,2
2026-07-03,points,Veronica Burton,veronica burton,11.5,0.5052,3
2026-07-03,points,Kayla Thornton,kayla thornton,8.5,0.4877,3
2026-07-03,points,Cecilia Zandalasini,cecilia zandalasini,8.5,0.5185,3
2026-07-03,points,Gabby Williams,gabby williams,15.5,0.5162,3
2026-07-03,points,Angel Reese,angel reese,13.5,0.5112,2
2026-07-03,pra,Allisha Gray,allisha gray,23.5,0.4882,3
2026-07-03,pra,Jordin Canada,jordin canada,20.5,0.4948,3
2026-07-03,pra,Rhyne Howard,rhyne howard,24.5,0.5046,2
2026-07-03,pra,Veronica Burton,veronica burton,21.5,0.4751,2
2026-07-03,pra,Gabby Williams,gabby williams,22.5,0.5,3
2026-07-03,pra,Angel Reese,angel reese,28.5,0.5118,3
2026-07-03,rebounds,Allisha Gray,allisha gray,3.5,0.409,3
2026-07-03,rebounds,Janelle Salaun,janelle salaun,3.5,0.434,3
2026-07-03,rebounds,Jordin Canada,jordin canada,3.5,0.4225,3
2026-07-03,rebounds,Rhyne Howard,rhyne howard,3.5,0.5635,3
2026-07-03,rebounds,Veronica Burton,veronica burton,3.5,0.4215,3
2026-07-03,rebounds,Kayla Thornton,kayla thornton,4.5,0.5708,2
2026-07-03,rebounds,Gabby Williams,gabby williams,3.5,0.5487,3
2026-07-03,rebounds,Angel Reese,angel reese,11.5,0.5328,2
2026-07-03,threes,Allisha Gray,allisha gray,1.5,0.5565,3
2026-07-03,threes,Janelle Salaun,janelle salaun,1.5,0.5883,3
2026-07-03,threes,Jordin Canada,jordin canada,0.5,0.6325,2
2026-07-03,threes,Rhyne Howard,rhyne howard,2.5,0.5419,3
2026-07-03,threes,Veronica Burton,veronica burton,1.5,0.3731,3
2026-07-03,threes,Kayla Thornton,kayla thornton,1.5,0.4305,3
2026-07-03,threes,Cecilia Zandalasini,cecilia zandalasini,1.5,0.3978,3
2026-07-03,threes,Gabby Williams,gabby williams,1.5,0.5227,3
2026-07-03,rebounds,Cecilia Zandalasini,cecilia zandalasini,2.5,0.4003,2
2026-07-03,assists,Carla Leite,carla leite,5.5,0.5138,3
2026-07-03,assists,Natisha Hiedeman,natisha hiedeman,4.5,0.5,3
2026-07-03,points,Carla Leite,carla leite,14.5,0.491,3
2026-07-03,points,Sarah Ashlee Barker,sarah ashlee barker,11.5,0.4744,3
2026-07-03,points,Awa Fam,awa fam,11.5,0.5,3
2026-07-03,points,Dominique Malonga,dominique malonga,17.5,0.5185,3
2026-07-03,points,Megan Gustafson,megan gustafson,12.5,0.4744,3
2026-07-03,points,Natisha Hiedeman,natisha hiedeman,15.5,0.4744,3
2026-07-03,points,Bridget Carleton,bridget carleton,13.5,0.4858,3
2026-07-03,points,Flau'jae Johnson,flau'jae johnson,12.5,0.502,3
2026-07-03,rebounds,Sarah Ashlee Barker,sarah ashlee barker,4.5,0.4329,3
2026-07-03,rebounds,Awa Fam,awa fam,5.5,0.4815,3
2026-07-03,rebounds,Dominique Malonga,dominique malonga,8.5,0.5103,3
2026-07-03,rebounds,Megan Gustafson,megan gustafson,3.5,0.4782,3
2026-07-03,rebounds,Bridget Carleton,bridget carleton,3.5,0.4882,3
2026-07-03,rebounds,Flau'jae Johnson,flau'jae johnson,5.5,0.4897,3
2026-07-03,threes,Sarah Ashlee Barker,sarah ashlee barker,1.5,0.4581,3
2026-07-03,threes,Awa Fam,awa fam,1.5,0.4931,3
2026-07-03,threes,Megan Gustafson,megan gustafson,1.5,0.4225,3
2026-07-03,threes,Natisha Hiedeman,natisha hiedeman,1.5,0.5927,2
2026-07-03,threes,Bridget Carleton,bridget carleton,2.5,0.445,3
2026-07-03,threes,Flau'jae Johnson,flau'jae johnson,1.5,0.497,3
2026-07-03,pra,Carla Leite,carla leite,22.5,0.5085,2
2026-07-03,pra,Natisha Hiedeman,natisha hiedeman,22.5,0.4904,2
2026-07-03,rebounds,Carla Leite,carla leite,2.5,0.4349,2
2026-07-03,rebounds,Natisha Hiedeman,natisha hiedeman,2.5,0.433,2
2026-07-03,threes,Carla Leite,carla leite,0.5,0.6291,2
